id,text,label,template_family
80,The app crashes every time I open the dashboard. I already contacted support I am using the mobile app,technical,technical:0
81,I need to change the delivery address for my order urgent.,delivery,delivery:2
82,I was charged twice for the same subscription. I am using the mobile app,billing,billing:0
83,My payment failed but the money left my account.,billing,billing:2
84,The system is slow and sometimes freezes. I already contacted support I can provide screenshots,technical,technical:3
85,The export button does not work on my browser. I saw suspicious activity on my account. this has happened before I am using the mobile app,technical,technical:1
86,I cannot log into my account after resetting my password. I receive an error when uploading a file.,account,account:0
87,My profile is locked and I need access again. I can provide screenshots,account,account:1
88,I need to change the delivery address for my order.,delivery,delivery:2
89,Please stop my plan at the end of the month.,cancellation,cancellation:1
90,The package was marked delivered but I did not receive it.,delivery,delivery:1
91,My profile is locked and I need access again. I can provide screenshots thank you,delivery,account:1
92,The system is slow and sometimes freezes. I am using the mobile app,technical,technical:3
93,I cannot log into my account after resetting my password. My payment failed but the money left my account.,account,account:0
94,The app crashes every time I open the dashboard. Please help me secure my account immediately urgent. I can provide screenshots I already contacted support,technical,technical:0
95,The package was marked delivered but I did not receive it. the issue started yesterday I can provide screenshots,delivery,delivery:1
96,I want to cancel my subscription before renewal.,cancellation,cancellation:0
97,Someone changed my password without permission.,security,security:1
98,I receive an error when uploading a file. please respond quickly,technical,technical:2
99,I cannot log into my account after resetting my password urgent. I am using the mobile app,account,account:0
100,I was charged twice for the same subscription urgent.,billing,billing:0
101,I need to change the delivery address for my order. I can provide screenshots thank you,delivery,delivery:2
102,The package was marked delivered but I did not receive it urgent. I can provide screenshots I already contacted support,delivery,delivery:1
103,The system is slow and sometimes freezes. I already contacted support I am using the mobile app,technical,technical:3
104,I cancelled but I still received a renewal notice urgent. please respond quickly,cancellation,cancellation:2
105,I saw suspicious activity on my account. I am using the mobile app thank you,billing,security:0
106,I cancelled but I still received a renewal notice. I saw suspicious activity on my account.,billing,cancellation:2
107,I need help changing the email address on my account. the issue started yesterday thank you,account,account:3
108,I need help changing the email address on my account. I received a login alert from an unknown location. this has happened before please respond quickly,account,account:3
109,I need help changing the email address on my account. Someone changed my password without permission. the issue started yesterday,account,account:3
110,Please help me secure my account immediately. this has happened before the issue started yesterday,security,security:3
111,My payment failed but the money left my account.,billing,billing:2
112,I received a login alert from an unknown location. The login page keeps rejecting my credentials.,security,security:2
113,I need to change the delivery address for my order. please respond quickly,billing,delivery:2
114,The app crashes every time I open the dashboard. The invoice amount is wrong this month.,technical,technical:0
115,The invoice amount is wrong this month. thank you,billing,billing:1
116,Please help me secure my account immediately. this has happened before,security,security:3
117,I want to cancel my subscription before renewal. The package was marked delivered but I did not receive it. the issue started yesterday,cancellation,cancellation:0
118,Someone changed my password without permission.,security,security:1
119,The export button does not work on my browser. I am using the mobile app thank you,technical,technical:1
120,Please stop my plan at the end of the month. I receive an error when uploading a file.,cancellation,cancellation:1
121,The system is slow and sometimes freezes. My profile is locked and I need access again. please respond quickly,technical,technical:3
122,I cannot log into my account after resetting my password. I saw suspicious activity on my account. I am using the mobile app this has happened before,account,account:0
123,I need help changing the email address on my account. I am using the mobile app this has happened before,technical,account:3
124,My profile is locked and I need access again. thank you please respond quickly,account,account:1
125,I cancelled but I still received a renewal notice. I can provide screenshots,cancellation,cancellation:2
126,The system is slow and sometimes freezes. The invoice amount is wrong this month. I am using the mobile app this has happened before,technical,technical:3
127,My profile is locked and I need access again. please respond quickly,security,account:1
128,I cannot log into my account after resetting my password. I was charged twice for the same subscription.,account,account:0
129,I cancelled but I still received a renewal notice. please respond quickly,cancellation,cancellation:2
130,I need confirmation that my membership was cancelled. thank you this has happened before,cancellation,cancellation:3
131,The system is slow and sometimes freezes. this has happened before the issue started yesterday,technical,technical:3
132,I receive an error when uploading a file. Please stop my plan at the end of the month urgent.,cancellation,technical:2
133,My order has not arrived and tracking has not updated. the issue started yesterday I am using the mobile app,delivery,delivery:0
134,I need help changing the email address on my account. I cancelled but I still received a renewal notice.,account,account:3
135,I need help changing the email address on my account.,delivery,account:3
136,Please help me secure my account immediately. I already contacted support,technical,security:3
137,My payment failed but the money left my account. The login page keeps rejecting my credentials. the issue started yesterday,billing,billing:2
138,Please help me secure my account immediately.,security,security:3
139,I need to change the delivery address for my order. I already contacted support the issue started yesterday,delivery,delivery:2
140,I need help changing the email address on my account.,cancellation,account:3
141,I received a login alert from an unknown location. this has happened before,security,security:2
142,My payment failed but the money left my account. I can provide screenshots thank you,billing,billing:2
143,I received a login alert from an unknown location. I am using the mobile app,security,security:2
144,I receive an error when uploading a file. please respond quickly,technical,technical:2
145,I cannot log into my account after resetting my password. The system is slow and sometimes freezes.,account,account:0
146,The shipment is delayed and I need an update. I already contacted support I am using the mobile app,delivery,delivery:3
147,The package was marked delivered but I did not receive it. The invoice amount is wrong this month. thank you,delivery,delivery:1
148,My profile is locked and I need access again.,account,account:1
149,I was charged twice for the same subscription.,billing,billing:0
150,I need a refund for an incorrect billing charge.,billing,billing:3
151,I cannot log into my account after resetting my password. please respond quickly,security,account:0
152,I was charged twice for the same subscription.,billing,billing:0
153,I received a login alert from an unknown location. I am using the mobile app thank you,security,security:2
154,I cannot log into my account after resetting my password. The invoice amount is wrong this month. I can provide screenshots thank you,account,account:0
155,Someone changed my password without permission. I already contacted support,security,security:1
156,I cancelled but I still received a renewal notice.,delivery,cancellation:2
157,I received a login alert from an unknown location.,security,security:2
158,The app crashes every time I open the dashboard. this has happened before,technical,technical:0
159,I was charged twice for the same subscription. The app crashes every time I open the dashboard. I already contacted support,billing,billing:0
160,I saw suspicious activity on my account. I already contacted support this has happened before,security,security:0
161,My profile is locked and I need access again. please respond quickly,account,account:1
162,My profile is locked and I need access again. The export button does not work on my browser. thank you,account,account:1
163,I was charged twice for the same subscription. please respond quickly I already contacted support,billing,billing:0
164,I saw suspicious activity on my account. I can provide screenshots the issue started yesterday,security,security:0
165,My profile is locked and I need access again. I am using the mobile app please respond quickly,account,account:1
166,I was charged twice for the same subscription urgent. thank you I already contacted support,billing,billing:0
167,The login page keeps rejecting my credentials. I cancelled but I still received a renewal notice. I already contacted support,account,account:2
168,I received a login alert from an unknown location.,security,security:2
169,My order has not arrived and tracking has not updated. I saw suspicious activity on my account. the issue started yesterday,delivery,delivery:0
170,The login page keeps rejecting my credentials. I am using the mobile app thank you,account,account:2
171,My order has not arrived and tracking has not updated.,delivery,delivery:0
172,The system is slow and sometimes freezes. this has happened before,technical,technical:3
173,I need to change the delivery address for my order. I am using the mobile app,security,delivery:2
174,My order has not arrived and tracking has not updated. I need confirmation that my membership was cancelled.,delivery,delivery:0
175,Please stop my plan at the end of the month. Someone changed my password without permission. thank you I can provide screenshots,billing,cancellation:1
176,The package was marked delivered but I did not receive it. thank you I can provide screenshots,delivery,delivery:1
177,I need to change the delivery address for my order.,delivery,delivery:2
178,The export button does not work on my browser. I already contacted support please respond quickly,technical,technical:1
179,Someone changed my password without permission. I am using the mobile app I can provide screenshots,security,security:1
180,I need a refund for an incorrect billing charge.,billing,billing:3
181,I saw suspicious activity on my account. thank you I can provide screenshots,security,security:0
182,The shipment is delayed and I need an update. I am using the mobile app,delivery,delivery:3
183,My payment failed but the money left my account urgent. this has happened before thank you,billing,billing:2
184,I want to cancel my subscription before renewal. I cannot log into my account after resetting my password.,cancellation,cancellation:0
185,The invoice amount is wrong this month. thank you please respond quickly,billing,billing:1
186,I need help changing the email address on my account.,account,account:3
187,The package was marked delivered but I did not receive it. My profile is locked and I need access again.,delivery,delivery:1
188,The export button does not work on my browser. thank you the issue started yesterday,security,technical:1
189,My order has not arrived and tracking has not updated. The export button does not work on my browser. I am using the mobile app this has happened before,delivery,delivery:0
190,I cancelled but I still received a renewal notice. the issue started yesterday thank you,cancellation,cancellation:2
191,I want to cancel my subscription before renewal. this has happened before,security,cancellation:0
192,My profile is locked and I need access again. I was charged twice for the same subscription urgent. this has happened before,account,account:1
193,My profile is locked and I need access again. I was charged twice for the same subscription. the issue started yesterday,account,account:1
194,I cancelled but I still received a renewal notice urgent. I already contacted support,cancellation,cancellation:2
195,I need a refund for an incorrect billing charge.,billing,billing:3
196,The system is slow and sometimes freezes. this has happened before,cancellation,technical:3
197,I cannot log into my account after resetting my password.,account,account:0
198,I cannot log into my account after resetting my password. this has happened before I already contacted support,account,account:0
199,Someone changed my password without permission.,security,security:1
200,I want to cancel my subscription before renewal. I can provide screenshots,technical,cancellation:0
201,I need help changing the email address on my account. I am using the mobile app,account,account:3
202,Please stop my plan at the end of the month. I already contacted support,cancellation,cancellation:1
203,The invoice amount is wrong this month. I want to cancel my subscription before renewal urgent. the issue started yesterday,billing,billing:1
204,My order has not arrived and tracking has not updated. this has happened before I can provide screenshots,delivery,delivery:0
205,My profile is locked and I need access again. I receive an error when uploading a file.,account,account:1
206,My profile is locked and I need access again. I was charged twice for the same subscription.,account,account:1
207,The invoice amount is wrong this month. this has happened before,billing,billing:1
208,I was charged twice for the same subscription. I cannot log into my account after resetting my password urgent. I can provide screenshots please respond quickly,billing,billing:0
209,I cannot log into my account after resetting my password. thank you I can provide screenshots,security,account:0
210,The app crashes every time I open the dashboard.,technical,technical:0
211,I need help changing the email address on my account. this has happened before I already contacted support,account,account:3
212,The package was marked delivered but I did not receive it. I saw suspicious activity on my account. please respond quickly,delivery,delivery:1
213,I need to change the delivery address for my order. the issue started yesterday,delivery,delivery:2
214,Someone changed my password without permission. I can provide screenshots I am using the mobile app,security,security:1
215,The package was marked delivered but I did not receive it. I am using the mobile app,billing,delivery:1
216,The login page keeps rejecting my credentials. I can provide screenshots I am using the mobile app,account,account:2
217,I want to cancel my subscription before renewal. The shipment is delayed and I need an update. I can provide screenshots this has happened before,cancellation,cancellation:0
218,Please help me secure my account immediately urgent. thank you,security,security:3
219,I cannot log into my account after resetting my password. I can provide screenshots,account,account:0
220,The login page keeps rejecting my credentials. I can provide screenshots I am using the mobile app,account,account:2
221,I need help changing the email address on my account. I can provide screenshots,account,account:3
222,Please help me secure my account immediately. I can provide screenshots this has happened before,technical,security:3
223,I cancelled but I still received a renewal notice. this has happened before,cancellation,cancellation:2
224,I receive an error when uploading a file urgent.,technical,technical:2
225,The invoice amount is wrong this month urgent. this has happened before I can provide screenshots,billing,billing:1
226,I need to change the delivery address for my order.,delivery,delivery:2
227,The login page keeps rejecting my credentials. I need to change the delivery address for my order. thank you,account,account:2
228,I cannot log into my account after resetting my password. thank you,account,account:0
229,The login page keeps rejecting my credentials. thank you,account,account:2
230,I need help changing the email address on my account.,delivery,account:3
231,I need to change the delivery address for my order. I need a refund for an incorrect billing charge.,delivery,delivery:2
232,My profile is locked and I need access again. I cancelled but I still received a renewal notice.,account,account:1
233,I receive an error when uploading a file urgent. I can provide screenshots,technical,technical:2
234,The invoice amount is wrong this month. I need confirmation that my membership was cancelled. I am using the mobile app,billing,billing:1
235,I want to cancel my subscription before renewal. I can provide screenshots I already contacted support,cancellation,cancellation:0
236,The system is slow and sometimes freezes. I can provide screenshots this has happened before,technical,technical:3
237,The export button does not work on my browser. My payment failed but the money left my account urgent. this has happened before,technical,technical:1
238,Please help me secure my account immediately. I need a refund for an incorrect billing charge. please respond quickly I already contacted support,security,security:3
239,I receive an error when uploading a file. I need a refund for an incorrect billing charge urgent. thank you I can provide screenshots,technical,technical:2
240,The app crashes every time I open the dashboard. thank you,technical,technical:0
241,I need confirmation that my membership was cancelled. the issue started yesterday,security,cancellation:3
242,The invoice amount is wrong this month. the issue started yesterday,billing,billing:1
243,I need a refund for an incorrect billing charge. I am using the mobile app,billing,billing:3
244,I need a refund for an incorrect billing charge. I received a login alert from an unknown location. I can provide screenshots this has happened before,billing,billing:3
245,The export button does not work on my browser. I am using the mobile app this has happened before,technical,technical:1
246,The login page keeps rejecting my credentials. I receive an error when uploading a file. this has happened before,account,account:2
247,Please help me secure my account immediately urgent.,security,security:3
248,Please stop my plan at the end of the month. I am using the mobile app I already contacted support,cancellation,cancellation:1
249,The shipment is delayed and I need an update. I can provide screenshots thank you,delivery,delivery:3
250,Please stop my plan at the end of the month. I already contacted support,billing,cancellation:1
251,My order has not arrived and tracking has not updated.,cancellation,delivery:0
252,Please help me secure my account immediately.,security,security:3
253,I received a login alert from an unknown location. this has happened before the issue started yesterday,account,security:2
254,I was charged twice for the same subscription.,billing,billing:0
255,My profile is locked and I need access again. this has happened before,account,account:1
256,I need confirmation that my membership was cancelled. I was charged twice for the same subscription.,cancellation,cancellation:3
257,The invoice amount is wrong this month. My profile is locked and I need access again. this has happened before the issue started yesterday,billing,billing:1
258,The system is slow and sometimes freezes.,technical,technical:3
259,My order has not arrived and tracking has not updated. thank you I already contacted support,delivery,delivery:0
260,I receive an error when uploading a file. the issue started yesterday please respond quickly,technical,technical:2
261,The system is slow and sometimes freezes. I saw suspicious activity on my account urgent. the issue started yesterday,technical,technical:3
262,Please help me secure my account immediately. I can provide screenshots please respond quickly,security,security:3
263,I need to change the delivery address for my order. The app crashes every time I open the dashboard. I am using the mobile app thank you,account,delivery:2
264,Please help me secure my account immediately. I cancelled but I still received a renewal notice. please respond quickly,security,security:3
265,I was charged twice for the same subscription. thank you I can provide screenshots,billing,billing:0
266,The invoice amount is wrong this month. this has happened before I already contacted support,billing,billing:1
267,Please stop my plan at the end of the month. My order has not arrived and tracking has not updated. I am using the mobile app,cancellation,cancellation:1
268,Please help me secure my account immediately.,security,security:3
269,I cannot log into my account after resetting my password. I want to cancel my subscription before renewal. I am using the mobile app,account,account:0
270,The app crashes every time I open the dashboard. I can provide screenshots I already contacted support,technical,technical:0
271,The app crashes every time I open the dashboard. Please stop my plan at the end of the month. please respond quickly this has happened before,technical,technical:0
272,The invoice amount is wrong this month. I already contacted support,billing,billing:1
273,I cancelled but I still received a renewal notice.,account,cancellation:2
274,The system is slow and sometimes freezes. I cannot log into my account after resetting my password. this has happened before I am using the mobile app,technical,technical:3
275,I want to cancel my subscription before renewal.,cancellation,cancellation:0
276,My payment failed but the money left my account.,billing,billing:2
277,I cancelled but I still received a renewal notice.,cancellation,cancellation:2
278,The app crashes every time I open the dashboard. this has happened before I already contacted support,technical,technical:0
279,The login page keeps rejecting my credentials. this has happened before I am using the mobile app,account,account:2
280,I need confirmation that my membership was cancelled. the issue started yesterday this has happened before,cancellation,cancellation:3
281,I cancelled but I still received a renewal notice. thank you,cancellation,cancellation:2
282,The invoice amount is wrong this month. I need to change the delivery address for my order. the issue started yesterday,billing,billing:1
283,The invoice amount is wrong this month. I can provide screenshots,billing,billing:1
284,I was charged twice for the same subscription. I am using the mobile app this has happened before,cancellation,billing:0
285,I need a refund for an incorrect billing charge urgent. this has happened before I already contacted support,billing,billing:3
286,My profile is locked and I need access again urgent. I am using the mobile app thank you,account,account:1
287,I saw suspicious activity on my account. thank you the issue started yesterday,security,security:0
288,I was charged twice for the same subscription. please respond quickly,billing,billing:0
289,I need confirmation that my membership was cancelled. please respond quickly,cancellation,cancellation:3
290,Someone changed my password without permission. I need a refund for an incorrect billing charge. please respond quickly the issue started yesterday,security,security:1
291,Please help me secure my account immediately. I cannot log into my account after resetting my password.,billing,security:3
292,I saw suspicious activity on my account.,security,security:0
293,I want to cancel my subscription before renewal.,cancellation,cancellation:0
294,I need to change the delivery address for my order. I already contacted support,delivery,delivery:2
295,I need confirmation that my membership was cancelled. The shipment is delayed and I need an update.,cancellation,cancellation:3
296,I need to change the delivery address for my order. Please stop my plan at the end of the month. I can provide screenshots please respond quickly,delivery,delivery:2
297,My payment failed but the money left my account. this has happened before I already contacted support,billing,billing:2
298,The shipment is delayed and I need an update.,delivery,delivery:3
299,I need help changing the email address on my account. The package was marked delivered but I did not receive it urgent. please respond quickly,account,account:3
300,The invoice amount is wrong this month. the issue started yesterday I already contacted support,billing,billing:1
301,I need to change the delivery address for my order. I can provide screenshots I already contacted support,technical,delivery:2
302,I receive an error when uploading a file. I already contacted support,technical,technical:2
303,The system is slow and sometimes freezes. My order has not arrived and tracking has not updated. this has happened before,technical,technical:3
304,I cancelled but I still received a renewal notice. please respond quickly the issue started yesterday,cancellation,cancellation:2
305,I need to change the delivery address for my order.,delivery,delivery:2
306,The invoice amount is wrong this month.,billing,billing:1
307,Please help me secure my account immediately. I can provide screenshots this has happened before,security,security:3
308,I saw suspicious activity on my account. I already contacted support please respond quickly,security,security:0
309,I receive an error when uploading a file. this has happened before the issue started yesterday,technical,technical:2
310,I received a login alert from an unknown location. this has happened before I can provide screenshots,security,security:2
311,The package was marked delivered but I did not receive it. I am using the mobile app,delivery,delivery:1
312,My profile is locked and I need access again.,account,account:1
313,I need confirmation that my membership was cancelled. My profile is locked and I need access again. this has happened before,cancellation,cancellation:3
314,The login page keeps rejecting my credentials. I was charged twice for the same subscription.,account,account:2
315,The shipment is delayed and I need an update. The export button does not work on my browser.,delivery,delivery:3
316,I need help changing the email address on my account. this has happened before,account,account:3
317,I need a refund for an incorrect billing charge. please respond quickly,billing,billing:3
318,My payment failed but the money left my account. My profile is locked and I need access again. I can provide screenshots I am using the mobile app,billing,billing:2
319,My profile is locked and I need access again. I already contacted support,account,account:1
320,I need to change the delivery address for my order.,delivery,delivery:2
321,I cannot log into my account after resetting my password. I need a refund for an incorrect billing charge. the issue started yesterday this has happened before,account,account:0
322,My payment failed but the money left my account. Please help me secure my account immediately. please respond quickly I already contacted support,billing,billing:2
323,Please help me secure my account immediately. I want to cancel my subscription before renewal.,security,security:3
324,The shipment is delayed and I need an update. I cancelled but I still received a renewal notice. I am using the mobile app,cancellation,delivery:3
325,I cancelled but I still received a renewal notice. I already contacted support,cancellation,cancellation:2
326,I want to cancel my subscription before renewal. thank you,cancellation,cancellation:0
327,I want to cancel my subscription before renewal.,cancellation,cancellation:0
328,I was charged twice for the same subscription. the issue started yesterday,billing,billing:0
329,I received a login alert from an unknown location urgent.,security,security:2
330,My profile is locked and I need access again. I can provide screenshots,account,account:1
331,The system is slow and sometimes freezes.,technical,technical:3
332,I need help changing the email address on my account. The app crashes every time I open the dashboard. thank you,account,account:3
333,The login page keeps rejecting my credentials.,account,account:2
334,The export button does not work on my browser urgent.,technical,technical:1
335,The shipment is delayed and I need an update. The invoice amount is wrong this month urgent.,delivery,delivery:3
336,I want to cancel my subscription before renewal. I receive an error when uploading a file. I can provide screenshots,cancellation,cancellation:0
337,I receive an error when uploading a file. I received a login alert from an unknown location. please respond quickly thank you,technical,technical:2
338,I need a refund for an incorrect billing charge. Someone changed my password without permission. the issue started yesterday I already contacted support,billing,billing:3
339,My profile is locked and I need access again urgent. I am using the mobile app please respond quickly,account,account:1
340,I was charged twice for the same subscription. I saw suspicious activity on my account. this has happened before,billing,billing:0
341,I was charged twice for the same subscription. please respond quickly I already contacted support,billing,billing:0
342,Please help me secure my account immediately.,security,security:3
343,The invoice amount is wrong this month. I need to change the delivery address for my order. I am using the mobile app I can provide screenshots,technical,billing:1
344,I receive an error when uploading a file. I need to change the delivery address for my order.,technical,technical:2
345,The invoice amount is wrong this month. I am using the mobile app,billing,billing:1
346,I receive an error when uploading a file.,billing,technical:2
347,I receive an error when uploading a file.,billing,technical:2
348,Please help me secure my account immediately.,security,security:3
349,My payment failed but the money left my account. this has happened before,billing,billing:2
350,The package was marked delivered but I did not receive it.,security,delivery:1
351,I was charged twice for the same subscription urgent. this has happened before,billing,billing:0
352,The export button does not work on my browser. My payment failed but the money left my account. thank you,technical,technical:1
353,I want to cancel my subscription before renewal. thank you,cancellation,cancellation:0
354,I was charged twice for the same subscription. please respond quickly I can provide screenshots,billing,billing:0
355,I need confirmation that my membership was cancelled urgent. this has happened before please respond quickly,cancellation,cancellation:3
356,My profile is locked and I need access again. please respond quickly,account,account:1
357,I saw suspicious activity on my account. please respond quickly,delivery,security:0
358,The invoice amount is wrong this month. I can provide screenshots I am using the mobile app,billing,billing:1
359,The system is slow and sometimes freezes.,technical,technical:3
360,The app crashes every time I open the dashboard.,technical,technical:0
361,I need confirmation that my membership was cancelled.,cancellation,cancellation:3
362,I want to cancel my subscription before renewal. I need a refund for an incorrect billing charge.,cancellation,cancellation:0
363,I was charged twice for the same subscription. The package was marked delivered but I did not receive it. please respond quickly I can provide screenshots,billing,billing:0
364,The login page keeps rejecting my credentials. I already contacted support,technical,account:2
365,Please help me secure my account immediately.,security,security:3
366,The app crashes every time I open the dashboard urgent. this has happened before,technical,technical:0
367,Someone changed my password without permission. I cancelled but I still received a renewal notice urgent. I can provide screenshots,security,security:1
368,I need a refund for an incorrect billing charge.,billing,billing:3
369,Someone changed my password without permission. The login page keeps rejecting my credentials urgent. this has happened before I already contacted support,security,security:1
370,The package was marked delivered but I did not receive it.,delivery,delivery:1
371,I need help changing the email address on my account.,account,account:3
372,My profile is locked and I need access again. I receive an error when uploading a file. I already contacted support,account,account:1
373,The export button does not work on my browser.,technical,technical:1
374,The package was marked delivered but I did not receive it.,delivery,delivery:1
375,I need help changing the email address on my account. I am using the mobile app thank you,delivery,account:3
376,The login page keeps rejecting my credentials. the issue started yesterday please respond quickly,account,account:2
377,The package was marked delivered but I did not receive it urgent. I already contacted support I can provide screenshots,delivery,delivery:1
378,Please help me secure my account immediately. thank you I already contacted support,security,security:3
379,My payment failed but the money left my account.,billing,billing:2
380,I was charged twice for the same subscription. please respond quickly the issue started yesterday,cancellation,billing:0
381,I need to change the delivery address for my order urgent.,delivery,delivery:2
382,I want to cancel my subscription before renewal. this has happened before,cancellation,cancellation:0
383,The export button does not work on my browser.,delivery,technical:1
384,The app crashes every time I open the dashboard.,technical,technical:0
385,I need confirmation that my membership was cancelled. I saw suspicious activity on my account urgent. the issue started yesterday,technical,cancellation:3
386,The invoice amount is wrong this month. thank you this has happened before,billing,billing:1
387,The app crashes every time I open the dashboard.,technical,technical:0
388,Please help me secure my account immediately. My order has not arrived and tracking has not updated urgent. I am using the mobile app I already contacted support,security,security:3
389,I was charged twice for the same subscription. Someone changed my password without permission. please respond quickly thank you,account,billing:0
390,I received a login alert from an unknown location.,security,security:2
391,The app crashes every time I open the dashboard. thank you,security,technical:0
392,The app crashes every time I open the dashboard. please respond quickly the issue started yesterday,technical,technical:0
393,I receive an error when uploading a file.,technical,technical:2
394,The export button does not work on my browser.,account,technical:1
395,The shipment is delayed and I need an update. My profile is locked and I need access again urgent. this has happened before please respond quickly,delivery,delivery:3
396,I need help changing the email address on my account urgent. I can provide screenshots,account,account:3
